"season","yw","syndrome","incidence","type","upper","lower","count","part","method","active"
2019,202012,"covid.ecdc",0.465599521288348,"adj",0.508638421828426,0.424002557771295,1885,NA,"w0",NA
2019,202013,"covid.ecdc",0.411248068824108,"adj",0.446698922221302,0.376909631637835,2153,NA,"w0",NA
2019,202013,"ili.ecdc",0.0805104558209524,"adj",0.0949985896200462,0.0669653107929858,485,5078,"w1_s2_if2_ex",NA
2019,202014,"covid.ecdc",0.343885773246335,"adj",0.363876438285731,0.324210033644061,8664,NA,"w0",NA
2019,202014,"ili.ecdc",0.0168413220299138,"adj",0.0226974111186898,0.011430937553267,351,22820,"w1_s2_if2_ex",NA
2019,202015,"covid.ecdc",0.234357213975194,"adj",0.248776963115016,0.220215003951304,5786,NA,"w0",NA
2019,202015,"ili.ecdc",0.0428334581982264,"adj",0.0482545592688272,0.03763585719813,1236,25187,"w1_s2_if2_ex",NA
2019,202016,"covid.ecdc",0.173720848349456,"adj",0.184578565388831,0.163108482684985,4185,NA,"w0",NA
2019,202016,"ili.ecdc",0.0281012321596822,"adj",0.0317083000096052,0.0246710823119425,867,26017,"w1_s2_if2_ex",NA
2019,202017,"covid.ecdc",0.140741539337473,"adj",0.150385595672545,0.131347035069921,3182,NA,"w0",NA
2019,202017,"ili.ecdc",0.0210952705078567,"adj",0.0240540409084303,0.0183058256439342,632,25218,"w1_s2_if2_ex",NA
2019,202018,"covid.ecdc",0.118059327143083,"adj",0.127046078054217,0.109335421005899,2483,NA,"w0",NA
2019,202018,"ili.ecdc",0.0145329404891993,"adj",0.0164288156883311,0.0127654407169493,447,24137,"w1_s2_if2_ex",NA
2019,202019,"covid.ecdc",0.099858931026194,"adj",0.107926474359923,0.0920494315693335,2071,NA,"w0",NA
2019,202019,"ili.ecdc",0.013785806887933,"adj",0.0160545410777752,0.0116826218347528,383,23314,"w1_s2_if2_ex",NA
2019,202020,"covid.ecdc",0.0946257670848657,"adj",0.102626464304655,0.0868931881588089,1884,NA,"w0",NA
2019,202020,"ili.ecdc",0.0134665245231881,"adj",0.016638460025786,0.0105529101399971,305,22855,"w1_s2_if2_ex",NA
2019,202021,"covid.ecdc",0.111547883851509,"adj",0.118476144754837,0.104778354403164,4070,NA,"w0",NA
2019,202021,"ili.ecdc",0.00326314915731167,"adj",0.00450074982754394,0.00217632759048585,131,35496,"w1_s2_if2_ex",NA
2019,202022,"covid.ecdc",0.0973284493388428,"adj",0.104128051918947,0.0906957151762052,3542,NA,"w0",NA
2019,202022,"ili.ecdc",0.00613024499854357,"adj",0.00812502803918119,0.00432186254889934,229,37683,"w1_s2_if2_ex",NA
2019,202023,"covid.ecdc",0.0880421437603732,"adj",0.0940575950902861,0.0821720224040175,3656,NA,"w0",NA
2019,202023,"ili.ecdc",0.00452902209411255,"adj",0.00625517051392653,0.00299035831047868,167,36474,"w1_s2_if2_ex",NA
2020,202041,"covid.ecdc",0.392157518307872,"adj",1.41660779316206,0.0474920947924707,2,NA,"w0",NA
2020,202042,"covid.ecdc",0.100819217357216,"adj",0.166292337155916,0.0564234311168947,15,NA,"w0",NA
2020,202042,"ili.ecdc",0.000665049494021264,"adj",0.00240238743894074,8.05405790714597e-05,2,2256,"w1_s2_if2_ex",NA
2020,202043,"covid.ecdc",0.136829196166715,"adj",0.1723079165682,0.104178091777915,319,NA,"w0",NA
2020,202043,"ili.ecdc",0.0117906350368661,"adj",0.0182229813845886,0.00631777333159358,85,7215,"w1_s2_if2_ex",NA
2020,202044,"covid.ecdc",0.142619414773292,"adj",0.163595309843825,0.12272553145105,782,NA,"w0",NA
2020,202044,"ili.ecdc",0.0168113044212526,"adj",0.021810156669514,0.0123168172811831,195,10890,"w1_s2_if2_ex",NA
2020,202045,"covid.ecdc",0.110782042540491,"adj",0.124985918531351,0.0972169947731981,1035,NA,"w0",NA
2020,202045,"ili.ecdc",0.0121098669339732,"adj",0.0159333005149158,0.00870053837153209,168,13292,"w1_s2_if2_ex",NA
2020,202046,"covid.ecdc",0.112400069475641,"adj",0.125311588713957,0.100010803517397,1285,NA,"w0",NA
2020,202046,"ili.ecdc",0.0105316894872757,"adj",0.0131114412622935,0.00822523744483362,176,14435,"w1_s2_if2_ex",NA
2020,202047,"covid.ecdc",0.102964460072943,"adj",0.11581617081985,0.0906588883738369,1162,NA,"w0",NA
2020,202047,"ili.ecdc",0.0131179512441865,"adj",0.0176998231674765,0.0090394937982146,163,14606,"w1_s2_if2_ex",NA
2020,202048,"covid.ecdc",0.098199019737813,"adj",0.110357664525868,0.0865680917786841,1113,NA,"w0",NA
2020,202048,"ili.ecdc",0.0104550715195096,"adj",0.0136082776213425,0.00765137606588978,160,14537,"w1_s2_if2_ex",NA
2020,202049,"covid.ecdc",0.0861095175077363,"adj",0.095805053321139,0.0768355364664201,1109,NA,"w0",NA
2020,202049,"ili.ecdc",0.0108698805267031,"adj",0.0139488543972482,0.00812532766497794,167,14411,"w1_s2_if2_ex",NA
2020,202050,"covid.ecdc",0.0949768665146384,"adj",0.106006207794093,0.0844239251393879,1124,NA,"w0",NA
2020,202050,"ili.ecdc",0.0101382176738801,"adj",0.012531937305831,0.00800302553098218,169,14392,"w1_s2_if2_ex",NA
2020,202051,"covid.ecdc",0.0951624440558216,"adj",0.107049656760797,0.0838066072968783,1048,NA,"w0",NA
2020,202051,"ili.ecdc",0.0134673720621149,"adj",0.0174325893105508,0.00991238566085324,185,14332,"w1_s2_if2_ex",NA
2020,202052,"covid.ecdc",0.0886430109189585,"adj",0.0992705370920646,0.078488345793249,1058,NA,"w0",NA
2020,202052,"ili.ecdc",0.0108886490538662,"adj",0.0137921403205398,0.00829527755367879,173,14715,"w1_s2_if2_ex",NA
2020,202053,"covid.ecdc",0.0747645674819353,"adj",0.0828127909944583,0.0670855539457562,994,NA,"w0",NA
2020,202053,"ili.ecdc",0.00950016338490637,"adj",0.0111848892110031,0.00801172658476552,144,12138,"w1_s2_if2_ex",NA
2020,202101,"covid.ecdc",0.0709833116370264,"adj",0.0796777488189857,0.0627018046252401,926,NA,"w0",NA
2020,202101,"ili.ecdc",0.00758837556534576,"adj",0.00976561644198283,0.00567832173905681,129,15040,"w1_s2_if2_ex",NA
2020,202102,"covid.ecdc",0.0657000868001537,"adj",0.0742296979022525,0.0575885969169941,868,NA,"w0",NA
2020,202102,"ili.ecdc",0.00872424465897335,"adj",0.0124377260372564,0.00550830719203924,107,15069,"w1_s2_if2_ex",NA
2020,202103,"covid.ecdc",0.0593929173147441,"adj",0.0678143896244042,0.0514102611615305,766,NA,"w0",NA
2020,202103,"ili.ecdc",0.0053485774172875,"adj",0.00649903086249786,0.00435648306616904,101,15082,"w1_s2_if2_ex",NA
2020,202104,"covid.ecdc",0.050884923383017,"adj",0.0578259708423948,0.0443215421548656,701,NA,"w0",NA
2020,202104,"ili.ecdc",0.00521772326989758,"adj",0.00734064900543692,0.00341498420747591,83,15014,"w1_s2_if2_ex",NA
2020,202105,"covid.ecdc",0.0488576429715237,"adj",0.0559256135089719,0.042187771965823,653,NA,"w0",NA
2020,202105,"ili.ecdc",0.00603703794290013,"adj",0.0089066641688722,0.00360265848431307,82,14909,"w1_s2_if2_ex",NA
2020,202106,"covid.ecdc",0.0490780660343589,"adj",0.0572379899701103,0.0414010154324628,590,NA,"w0",NA
2020,202106,"ili.ecdc",0.00422873633322862,"adj",0.00527777409826366,0.00334253940816748,78,14802,"w1_s2_if2_ex",NA
2020,202107,"covid.ecdc",0.0537871823500791,"adj",0.0624093288944201,0.0456513996838547,651,NA,"w0",NA
2020,202107,"ili.ecdc",0.00532977465199415,"adj",0.00761229824633819,0.00339344980887658,82,14748,"w1_s2_if2_ex",NA
2020,202108,"covid.ecdc",0.0650952316305397,"adj",0.0748046914640077,0.0558878761172017,778,NA,"w0",NA
2020,202108,"ili.ecdc",0.008497650748191,"adj",0.0120514864902349,0.00541384087943132,110,14745,"w1_s2_if2_ex",NA
2020,202109,"covid.ecdc",0.0566012489242731,"adj",0.064818965382335,0.048829116003028,706,NA,"w0",NA
2020,202109,"ili.ecdc",0.00785406733474622,"adj",0.0101594753044791,0.0058315748485006,129,14698,"w1_s2_if2_ex",NA
2020,202110,"covid.ecdc",0.0611676726655645,"adj",0.070539486556487,0.05229347925815,737,NA,"w0",NA
2020,202110,"ili.ecdc",0.00713223271129039,"adj",0.00940013634075127,0.00515809023034138,115,14596,"w1_s2_if2_ex",NA
2020,202111,"covid.ecdc",0.0681045996647702,"adj",0.0783738374334474,0.0583614850238678,793,NA,"w0",NA
2020,202111,"ili.ecdc",0.0153646361903989,"adj",0.0205359366717277,0.0107456785096521,173,14522,"w1_s2_if2_ex",NA
2020,202112,"covid.ecdc",0.0748910666945405,"adj",0.0863215458895493,0.0640528067463357,775,NA,"w0",NA
2020,202112,"ili.ecdc",0.00967077460258299,"adj",0.0131173891802832,0.00664558631457916,130,14413,"w1_s2_if2_ex",NA
2020,202113,"covid.ecdc",0.0819031070661611,"adj",0.0940717339984092,0.0703445397166939,829,NA,"w0",NA
2020,202113,"ili.ecdc",0.0115604671507661,"adj",0.0154238862071702,0.00813857234372626,150,14357,"w1_s2_if2_ex",NA
2020,202114,"covid.ecdc",0.0756110771055503,"adj",0.0872504807213675,0.0645720755900044,782,NA,"w0",NA
2020,202114,"ili.ecdc",0.011829472123142,"adj",0.0167296751228347,0.00755142941004687,120,14239,"w1_s2_if2_ex",NA
2020,202115,"covid.ecdc",0.0753563743945907,"adj",0.0869671872183575,0.0643433701426393,785,NA,"w0",NA
2020,202115,"ili.ecdc",0.0103922541073935,"adj",0.0145960948645562,0.00672008102078659,121,14115,"w1_s2_if2_ex",NA
2020,202116,"covid.ecdc",0.0711912611659446,"adj",0.0817500452389909,0.0611788454180141,777,NA,"w0",NA
2020,202116,"ili.ecdc",0.00960711594238483,"adj",0.0128475846467869,0.00675724730183398,134,13834,"w1_s2_if2_ex",NA
2020,202117,"covid.ecdc",0.063276772916054,"adj",0.0728528249462023,0.0542195982355525,707,NA,"w0",NA
2020,202117,"ili.ecdc",0.00961148722954043,"adj",0.0134993846273959,0.00622312827280014,117,13726,"w1_s2_if2_ex",NA
2020,202118,"covid.ecdc",0.0651444954037344,"adj",0.0751262654924477,0.0556998942821864,717,NA,"w0",NA
2020,202118,"ili.ecdc",0.00729081948562731,"adj",0.0086997516534688,0.00605870917176579,123,13696,"w1_s2_if2_ex",NA
2020,202119,"covid.ecdc",0.0597062326471679,"adj",0.0689313207838109,0.0509935316492794,672,NA,"w0",NA
2020,202119,"ili.ecdc",0.00864724617108278,"adj",0.0119564676028579,0.00576666759513728,115,13653,"w1_s2_if2_ex",NA
2020,202120,"covid.ecdc",0.0504722889508605,"adj",0.0588546444947857,0.0425901112716409,580,NA,"w0",NA
2020,202120,"ili.ecdc",0.00678105148258849,"adj",0.00999351514466031,0.00405310220330966,83,13564,"w1_s2_if2_ex",NA
2020,202121,"covid.ecdc",0.0583492930463914,"adj",0.0684979370036536,0.0487997272790067,593,NA,"w0",NA
2020,202121,"ili.ecdc",0.00728451460684047,"adj",0.0112330448339247,0.00396401047953854,74,13459,"w1_s2_if2_ex",NA
2020,202122,"covid.ecdc",0.0527501593776477,"adj",0.0626713427279941,0.0434497739722143,526,NA,"w0",NA
2020,202122,"ili.ecdc",0.00795878761487511,"adj",0.0117893632063236,0.00469346154934319,87,13373,"w1_s2_if2_ex",NA
2020,202123,"covid.ecdc",0.0508035380006368,"adj",0.0604502461541106,0.0417701596302642,509,NA,"w0",NA
2020,202123,"ili.ecdc",0.00346241987436425,"adj",0.00448703379955775,0.0026215271182506,57,13259,"w1_s2_if2_ex",NA
2020,202124,"covid.ecdc",0.0463858399258509,"adj",0.0551664117573308,0.0381796488452164,480,NA,"w0",NA
2020,202124,"ili.ecdc",0.00424295412639658,"adj",0.00676515533004723,0.00218825011428413,53,13113,"w1_s2_if2_ex",NA
2020,202125,"covid.ecdc",0.0541586864624873,"adj",0.0657234015271946,0.043356668019299,472,NA,"w0",NA
2020,202125,"ili.ecdc",0.0113566657412164,"adj",0.0175885354920125,0.00613510449983351,71,13003,"w1_s2_if2_ex",NA
2020,202126,"covid.ecdc",0.053004659564485,"adj",0.062983481757493,0.0436502419501763,526,NA,"w0",NA
2020,202126,"ili.ecdc",0.00894627398195164,"adj",0.013149983106997,0.00534092874312851,94,12895,"w1_s2_if2_ex",NA
2020,202127,"covid.ecdc",0.0560544381915161,"adj",0.0658381251993263,0.0468555285556369,578,NA,"w0",NA
2020,202127,"ili.ecdc",0.0128124007962413,"adj",0.018422631469943,0.00792012766971822,118,12768,"w1_s2_if2_ex",NA
2020,202128,"covid.ecdc",0.069721468341298,"adj",0.0815016504208085,0.058607788776292,647,NA,"w0",NA
2020,202128,"ili.ecdc",0.0159388261917573,"adj",0.02253374078933,0.0101445069703289,132,12603,"w1_s2_if2_ex",NA
2020,202129,"covid.ecdc",0.0664264700729477,"adj",0.0787205212244298,0.0548442634952864,617,NA,"w0",NA
2020,202129,"ili.ecdc",0.00736251650672335,"adj",0.0101558213890727,0.00495916143980332,98,12526,"w1_s2_if2_ex",NA
2020,202130,"covid.ecdc",0.0646691059305839,"adj",0.0771516307312032,0.0529326698020719,578,NA,"w0",NA
2020,202130,"ili.ecdc",0.00902843276188835,"adj",0.0128781415401707,0.00569909589671484,105,12391,"w1_s2_if2_ex",NA
2020,202131,"covid.ecdc",0.0523993226654186,"adj",0.062246195579915,0.043170886397909,522,NA,"w0",NA
2020,202131,"ili.ecdc",0.00575896782162545,"adj",0.00859799214966362,0.00338020510876011,71,12315,"w1_s2_if2_ex",NA
2020,202132,"covid.ecdc",0.0476608224839235,"adj",0.0580394551109753,0.0379927026819347,437,NA,"w0",NA
2020,202132,"ili.ecdc",0.00524510125626165,"adj",0.00814424550332008,0.00284618195655081,62,12148,"w1_s2_if2_ex",NA
2020,202133,"covid.ecdc",0.0461959841316834,"adj",0.0563221050296073,0.0367733001840484,424,NA,"w0",NA
2020,202133,"ili.ecdc",0.00473099785356999,"adj",0.00764039656798281,0.0023562963000699,54,12023,"w1_s2_if2_ex",NA
2020,202134,"covid.ecdc",0.0375892782809761,"adj",0.04520764062346,0.0305310837621736,377,NA,"w0",NA
2020,202134,"ili.ecdc",0.00852788429971891,"adj",0.0140447672416813,0.00399239479024045,58,11899,"w1_s2_if2_ex",NA
2021,202135,"covid.ecdc",0.046028355315248,"adj",0.0556213994839127,0.0371063293150723,418,NA,"w0",NA
2021,202135,"ili.ecdc",0.00554769505879709,"adj",0.00854685260770866,0.00305853855293826,64,NA,"w1_s2_if2_ex",NA
2021,202136,"covid.ecdc",0.0536939426089011,"adj",0.0655916781720706,0.0426062406525792,442,NA,"w0",NA
2021,202136,"ili.ecdc",0.00702565053587604,"adj",0.010276728687715,0.00426767536842477,82,NA,"w1_s2_if2_ex",NA
2021,202137,"covid.ecdc",0.0577940037638092,"adj",0.0705025391225231,0.0459386368656894,455,NA,"w0",NA
2021,202137,"ili.ecdc",0.0151109294193585,"adj",0.0231017346488374,0.00831207724775696,85,11525,"w1_s2_if2_ex",NA
